.net core	c#
 0.55	21
 .net core 20	.net design patterns
 0.34	231
 .net core 20	asp.net core
 0.76	2
 Administrateur Reseau	Administrateur Reseau Informatique
 0.89	3
 Administrateur Reseau	Administrateur Reseaux
 0.95	1
 Administrateur Reseau	Administrateur reseau
 0.90	3
 Administrateur reseau	Administrateur reseau informatique
 0.90	4
 Administrateur systemes reseau	Administrateur Reseaux Systemes
 0.82	5
 Agent Commerciale	Commerciale
 0.79	3
 Automaticien	automaticien
 0.85	1
 Developpeur	Ingenieur Developpeur
 0.86	1
 Ingenieur Informatique	Ingenieur informatique
 0.91	2
 Ingenieur Reseau	Ingenieur Reseaux
 0.93	1
 Ingenieur Systemes	Ingenieur Systemes informatiques
 0.92	2
 Ingenieur Systemes	Ingenieur systems
 0.94	1
 Ingenieur Telecom	Ingenieur Telecomunication
 0.90	1
 Ingenieur Telecomunication	Ingenieur telecommunications
 0.84	5
 Ingenieur developpement informatique	Ingenieur Developpeur
 0.69	20
 Ingenieure Informatique	Ingenieur Informatique
 0.97	1
 Ingenieure reseau	Ingenieur Reseaux
 0.74	8
 Network ingenieur	Ingenieur Reseaux
 0.66	43
 Project Operation Manager	Chef projet
 0.60	3
 Responsable Gestionaire Ressources Humaines	Responsable ressources humaines
 0.71	2
 Service commercant	agent commercant
 0.77	1
 Technicien Reseau	Technicien reseau informatiques
 0.76	4
 Technicien Telecommunication	Technicien telecom
 0.90	1
 Technicienne	Technicien
 0.91	1
 Techniciens Superieur telecom	Technicien Telecommunication
 0.78	8
 administrateur applicatif	administrateur application metier
 0.68	6
 administrateur applicatif	administrateur appliquatife
 0.79	1
 administrateur applications	administrateur appliquatife
 0.49	59
 administrateur base donnees	administrateur bases donnees expert
 0.83	1
 administrateur humaines	Responsable ressources humaines
 0.49	40
 administrateur infrastructures	administrateur infrastructure
 0.93	1
 administrateur reseau	Administrateur Reseau
 0.84	6
 administrateur securite systeme information	administrateur securite systemes information
 0.97	1
 administrateur system	administrateur systeme
 0.96	1
 administrateur systeme information	administrateur systemes information
 0.91	1
 administrateur systeme national	administrateur systeme nationale
 0.99	1
 administrateur systemes	administrateur system
 0.90	2
 administrateurs reseau	administrateurs reseau informatique
 0.89	3
 administration oracle	ingenieur base de donnees
 0.08	1227
 administration oracle	ingenieur donnees
 0.00	1535
 administration oracle	oracle
 0.79	2
 administration oracle	sql
 0.49	27
 administration oracle	oracle database
 0.80	1
 administration oracle	oracle database administration
 0.91	1
 administratrice reseau	administrateurs reseau informatique
 0.71	8
 administratrice reseau	administrateur reseau
 0.84	1
 agent commercant	cadre commercant
 0.60	20
 agile	developpement agile
 0.67	1
 ajax	javascript
 0.75	2
 ajax	developpement web
 0.28	462
 analyste fonctionnel	analyste fonctionnel intermediaire
 0.84	3
 analyste informatique	analyste informatique fonctionnel
 0.76	2
 android	java
 0.53	23
 android	kotlin
 0.23	515
 android	developpement mobile
 0.55	17
 android studio	android
 0.85	1
 angular	angularjs
 0.94	3
 angular	javascript
 0.48	37
 angular	developpement web
 0.17	794
 angular 4	angular
 0.89	3
 angular 7	angular
 0.89	3
 animation reunions	agile
 0.06	849
 ansible	automatisation
 0.25	126
 ansible	devops
 0.15	577
 apache	developpeur web
 0.27	478
 apache	php
 0.56	24
 apache	serveur web
 0.55	30
 api	rest
 0.29	389
 api restful	rest
 0.64	3
 api restful	developpement web
 0.23	383
 appache	apache
 0.53	12
 application develloper	software engineer
 0.31	280
 application develloper	developpeur logiciel
 0.52	19
 applications bases donnees	sql
 0.19	131
 applications bases donnees	base donnees
 0.80	0
 applications ios	developpeur mobile
 0.38	48
 applications ios	react native
 0.26	196
 applications ios	swift ios
 0.76	2
 applications mobiles flutter	developpement mobile
 0.56	9
 applications web	developpement web
 0.65	11
 arduino	iot
 0.46	17
 arduino	Ingenieur Electronique Systemes
 0.31	318
 arduino	ingenieur etat electrotechnique
 0.43	31
 asp.net	developpement web
 0.42	164
 aspect	aspect oriented programming
 0.62	2
 aspect	orientee objet
 0.45	6
 aspect	java
 0.07	646
 aspect	aspectJ
 0.75	1
 aspect	postsharp
 0.20	155
 aspect	developpement logiciel
 0.01	1012
 aspnet	asp.net
 0.86	2
 aspnet	asp.net core
 0.79	6
 aspnet mvc	asp.net
 0.75	7
 assemblage simple	ingenieur etat electrotechnique
 0.17	623
 assemblage simple	ingenieur etat electronique
 0.18	561
 assembleur	developpement logiciel
 0.37	336
 assembleur	developpement informatique
 0.32	530
 assembleur	systemes exploitation
 -0.03	1609
 assembleur	developpement systemes
 0.24	821
 assembleur	architecture ordinateur
 0.35	403
 assistant	assistante
 0.96	1
 audit it	data analyst
 0.16	436
 audit it	directeur audit systeme information
 0.48	5
 audit it	auditeur informatique
 0.50	4
 audit sécurité informatique	auditeur interne smq
 0.34	80
 autocad	modeles 3D
 0.25	425
 autocad	developpeur architecte informatique
 0.17	891
 autocad	ingenieur etat architecte
 0.15	996
 automate programable siemense	automatisation
 0.49	11
 automatique conception circuits logiques	ingenieur etat electronique
 0.47	14
 automatique conception circuits logiques	ingenieur etat electrotechnique
 0.35	52
 autoucad	autocad
 0.82	1
 base donnee realm	developpement mobile
 0.06	1198
 base donnee realm	base de donnees
 0.72	2
 base donnees mysql	sql
 0.52	18
 base donnees realm	developpeur mobile
 0.01	1160
 bash	linux
 0.57	18
