.net core 20	.net design patterns
 0.34	212
 Agent Commerciale	Commerciale
 0.79	3
 Automaticien	automaticien
 0.85	1
 Responsable Gestionaire Ressources Humaines	Responsable ressources humaines
 0.71	1
 Technicienne	Technicien
 0.91	1
 administrateur applicatif	administrateur appliquatife
 0.79	1
 administrateur applications	administrateur appliquatife
 0.49	37
 administrateur humaines	Responsable ressources humaines
 0.49	23
 administrateur infrastructures	administrateur infrastructure
 0.93	1
 administrateur systemes	administrateur system
 0.90	1
 ajax	javascript
 0.75	2
 ajax	developpement web
 0.28	399
 analyste informatique	analyste informatique fonctionnel
 0.76	2
 android	java
 0.53	17
 android	kotlin
 0.23	427
 android	developpement mobile
 0.55	13
 android studio	android
 0.85	1
 angular	angularjs
 0.94	2
 angular	javascript
 0.48	29
 angular	developpement web
 0.17	606
 angular 4	angular
 0.89	3
 angular 7	angular
 0.89	3
 ansible	automatisation
 0.25	115
 apache	developpeur web
 0.27	415
 apache	php
 0.56	21
 api restful	developpement web
 0.23	319
 appache	apache
 0.53	12
 applications ios	react native
 0.26	163
 applications ios	swift ios
 0.76	2
 applications mobiles flutter	developpement mobile
 0.56	7
 applications web	developpement web
 0.65	11
 arduino	iot
 0.46	15
 aspect	java
 0.07	545
 assistant	assistante
 0.96	1
 audit sécurité informatique	auditeur interne smq
 0.34	51
 automate programable siemense	automatisation
 0.49	9
 autoucad	autocad
 0.82	1
 bash	scripting
 0.51	31
 bash	unix shell
 0.58	11
 bigdata	big data
 0.90	1
 bootstrap	developpement web
 0.31	249
 bootstrap	javascript
 0.49	21
 bootstrap	developpeur web
 0.31	242
 borland delphi	pascal
 0.47	33
 bureautique word	bureautique informatique
 0.73	4
 bureautique word	bureautique informatique
 0.73	4
 centreon	automatisation
 0.11	854
 cisco packet tracer	cisco
 0.50	29
 cloud computing	virtualisation
 0.44	38
 cms	developpement web
 0.06	710
 codeigniter	php
 0.70	3
 codeigniter	developpement web
 0.29	313
 configuration htaccess htpasswd	developpement web
 -0.04	1010
 conseiller vente	conseiller vente espace
 0.81	1
 consultant erp	chef projet erp odoo
 0.45	26
 consultant technico fonctionnel sage erp	consultants fonctionnels
 0.63	8
 consultant technico fonctionnel sage erp	erp process manufacturing consultant
 0.45	31
 consultante sap senior	consultant projet
 0.57	14
 coordinateur	coordinatrice
 0.82	3
 cordova	developpement mobile
 0.18	588
 csharp	c#
 0.53	55
 css	developpement web
 0.29	286
 css 3	developpement web
 0.18	467
 databases mysql	sql
 0.83	6
 datawarehouse	data warehouse
 0.89	1
 debian	scripting
 0.50	50
 debian	virtualisation
 0.32	291
 delivery manager	delivery project manager
 0.89	1
 delphi	pascal
 0.46	80
 developpeur web fullstack	developpeur web
 0.84	7
 developpeur web fullstack	developpeur web
 0.84	7
 dhcp turbo	administrateur reseau
 0.03	897
 django	developpement web
 0.20	592
 django	python
 0.74	1
 dreamweaver	developpement web
 0.37	262
 dreamweaver	html
 0.49	74
 dreamweaver	css
 0.53	20
 dreamweaver	php
 0.44	141
 dreamweaver	javascript
 0.59	5
 dreamweaver cs4	dreamweaver
 0.83	1
 développeur ingénieur java spring boot	java
 0.45	77
 développeur ingénieur java spring boot	spring boot
 0.69	5
 développeur ingénieur java spring boot	hibernate
 0.29	217
 développeur ingénieur java spring boot	développeur java spring boot
 0.95	1
 développeur ingénieur java spring boot	développeur java ee
 0.74	3
 easyvista	cobit
 0.35	28
 easyvista	ansible
 0.38	16
 etl	bigdata
 0.20	374
 exchange	administrateur reseau
 0.09	629
 fast api	developpement web
 0.20	462
 fast api	python
 0.32	120
 fast api	api restful
 0.57	2
 fast api	python
 0.32	121
 fedora	scripting
 0.22	498
 fibres optiques	technicien fibre optique
 0.76	1
 firebase	cloud
 0.53	25
 firebase	javascript
 0.49	52
 firebase	nosql
 0.52	29
 firewalling	firewall
 0.96	1
 fireworks	illustrator
 0.37	71
 flask	developpement web
 0.19	563
 flask	python
 0.37	166
 flutter	developpement mobile
 0.33	69
 flutter	android
 0.27	168
 flutter	ios
 0.21	310
 formateur	formatrice
 0.88	2
 formation les cartes arduino	arduino
 0.49	1
 git	github
 0.73	2
 glassfish	java ee
 0.26	316
 glassfish	java
 0.28	276
 glassfish	developpement web
 0.10	848
 golang	developpement web
 0.27	314
 hibernate	java
 0.36	129
 hibernate	sql
 0.35	144
 html5	developpement web
 0.31	267
 informaticienne	informaticien
 0.84	1
 infrastructure engineer	administrateur infrastructure
 0.67	2
 infrastructure manager	infrastructures Manager
 0.82	2
 ionic	developpement mobile
 0.16	605
 ios	developpement mobile
 0.37	70
 ip monitoring systems fault & performance management	administrateur reseau
 0.36	28
 j2ee servlet jsp	java
 0.47	103
 jasper	java
 0.57	6
 jasper	sql
 0.19	466
 jasper	etl
 0.16	530
 jasper reports	jasper
 0.68	2
 java	python
 0.62	12
 java	c#
 0.64	10
 java	golang
 0.44	98
 java	programmation java
 0.85	2
 java	programmation logiciel
 0.62	17
 java	hibernate
 0.36	179
 java	spring boot
 0.42	120
 kotlin	java
 0.29	291
 langage balisage web  html	html5
 0.58	36
 langage java	java ee
 0.62	30
 langage sql	mariadb
 0.24	311
 langage sql	mysql
 0.69	22
 langage sql	base donnée realm
 0.42	118
 langage sql	base données
 0.45	102
 langages c#	net c#
 0.74	16
 langages c#	net core
 0.38	134
 laravel	php
 0.57	4
 laravel	framework laravel
 0.82	1
 laravel	php
 0.57	5
 laravel	programmation web
 0.31	179
 laravel	web dev
 0.34	142
 laravel	web development php
 0.42	44
 laravel	symfony
 0.51	11
 lxcontainer	docker
 0.28	173
 marketing	marketing web
 0.83	1
 maven	java
 0.54	11
 mysql	sql
 0.87	4
 mysql	base données
 0.54	62
 mysql	mariadb
 0.37	184
 mysql	nosql
 0.71	17
 mysql	sgbd sqlserver
 0.67	24
 mysql	sgbdr
 0.30	296
 mysql	workbench
 0.17	600
 mysql	oracle
 0.52	71
 mysql	postgresql
 0.62	31
 mysql	sqlite
 0.69	22
 méthodes agiles	scrum
 0.19	179
 net c#	net core
 0.69	10
 nmap	sécurite reseau
 0.25	389
 nmap	système sécurité
 0.16	672
 nmap	système linux
 0.32	188
 oracle 11g	oracle 12c
 0.85	1
 postgresql	postgres
 0.93	1
 postgresql	plsql
 0.63	6
 python	nodejs
 0.53	60
 python	golang
 0.44	129
 python	nodejs
 0.53	60
 python	php
 0.59	24
 python	golang
 0.44	131
 react	javascript
 0.45	12
 react	redux
 0.27	143
 react	web dev
 0.17	348
 react native	react
 0.84	1
 react native	javascript
 0.41	19
 react native	android
 0.32	79
 responsable informatique	responsable informatique it superviseur
 0.73	5
 rest api	developpement web
 0.20	409
 rest api	api restful
 0.84	1
 routing	cisco
 0.14	593
 sharepoint	developpement web
 0.22	385
 spring boot	java
 0.42	22
 spring boot	developpement web
 0.20	505
 spring boot	hibernate
 0.44	14
 standardiste	Standardiste
 0.85	1
 switching	cisco
 0.09	797
 switching	switching & routing
 0.80	2
 switching	switching lan
 0.81	1
 symfony	php
 0.34	239
 symfony	developpement web
 0.21	613
 symfony	web development php
 0.25	501
 symfony	web dev
 0.28	414
 système sécurité	wireshark
 0.20	174
 système sécurité	ssl
 0.38	30
 systèmes - linux	system administration
 0.51	15
 systèmes - linux	système linux
 0.92	1
 systèmes - linux	bash
 0.45	31
 systèmes - linux	programmation shell
 0.25	236
 systèmes - linux	redhat
 0.35	80
 systèmes - linux	ubuntu
 0.70	3
 systèmes - linux	unix shell
 0.49	19
 sécurité si	sécurité systèmes dinformation
 0.46	9
 sécurité si	sécurité systèmes dinformations
 0.45	11
 technicien helpdesk	technicien desk
 0.76	4
 technicien maintenance	technicien maintenance informatique
 0.94	1
 technologie cisco	technologie huwaei
 0.72	2
 technologie cisco	switching
 0.12	563
 technologie cisco	switching & routing
 0.08	687
 technologie cisco	ccda - cisco certified design associate
 0.33	90
 technologie cisco	ccna - cisco certified network associate routing & switching
 0.33	94
 uml	agile
 0.44	58
 vendeur	vendeurs
 0.82	1
 virtualisation	virtualbox
 0.70	7
 virtualisation	virtualisation hyper v
 0.78	6
 virtualisation	virtualisation systèmes
 0.89	2
 virtualisation	virtualization cloud
 0.81	6
 virtualisation	vmware
 0.28	140
 virtualisation	vmware esxi
 0.28	136
 visual c#	visual studio
 0.77	3
 vmware	vmware esxi
 0.85	2
 vmware vcenter	vmware esxi
